Title,Description,Campus,Research categories,Citizenship requirements,Preferred major(s),Desired experience,School/Dept.,Professor,More Info URL
Effects of colliding deflagration waves,"The initiation of deflagration in energetic materials such as RDX is a multi-scale process that begins with the formation and coalescence of microscopic hotspots. Molecular simulations and mesoscale models show that when these hotspots deflagrate and collide, a localized temperature spike can occur at the interface, potentially accelerating energy release and driving rapid reaction propagation. Understanding this hotspot interaction is key to building predictive models of energetic material sensitivity and performance. This project focuses on using molecular dynamics (MD) simulations to quantify the thermal and structural evolution of colliding hotspots in RDX. Building on recent theoretical work investigating ignition and growth mechanisms, the goal is to characterize how localized heating, stress, and chemical reactivity change during deflagration onset. In this project, the student will design atomistic simulations that model hotspot formation and collision under controlled thermodynamic conditions. They will calculate local temperature distributions, track reaction progression using reactive force fields, and analyze the energetics of the interface region where collisions occur. The student will gain hands-on experience with molecular dynamics simulation tools, data analysis of reaction processes, and visualization of temperature and energy fields. They will also develop an understanding of how microscopic reaction mechanisms connect to macroscopic ignition behavior in energetic materials. By the end of the project, the student will have contributed to a quantitative, molecular-level understanding of hotspot coalescence and early-stage deflagration dynamics in RDX, gaining practical skills applicable to computational materials science, chemical physics, and energetic materials research.",West Lafayette,Material Modeling and Simulation,U.S. Citizen,Mechanical Engineering Materials Engineering Aeronautical and Astronautical Engineering Computer Science,"▪ Be available to work in person over the summer. ▪ Have experience with Python, or similar programming tools for data analysis or computational tasks. ▪ Be comfortable learning new software tools and working with structured input/output data. ▪ Have interest in workflow automation, scientific computing, or engineering simulations. ▪ Be able to document results clearly and communicate findings effectively. ▪ Experience with the LAMMPS software package is preferred.",School of Materials Engineering,Alejandro Strachan,https://www.strachanlab.org/
Efficient and sustainable water technology,"Water and energy are tightly linked resources that must both become renewable for a successful future.  However, today, water and energy resources are often in conflict with one another, especially related to impacts on electric grids. Further, advances in nanotechnology, material science and artificial intelligence allow for new avenues to improve the widespread implementation of desalination and water purification technology. Our lab’s project aims to explore nanofabricated membranes, light-driven reactions, artificial intelligence control algorithms, and thermodynamic optimization of systems. Our projects include hybrids of reverse osmosis desalination with renewable energy (solar, wind, and hydro), as well as other topics such as filtration, water treatment, and water vapor harvesting. The student(s) will be responsible for fabricating membranes, building hydraulic systems, modeling thermal fluid phenomenon, analyzing data, and/or implementing control strategies in novel system configurations. The lab also works on separation processes for water in air, including HVAC dehumidification and removing aerosols. More information here: www.warsinger.com",West Lafayette,"Chemical Catalysis and Synthesis, Ecology and Sustainability, Energy and Environment, Engineering the Built Environment, Fluid Modelling and Simulation, Material Processing and Characterization, Nanotechnology",No citizenship requirements,Mechanical Engineering Materials Engineering Environmental and Ecological Engineering Chemical Engineering Chemistry,"Applicants should have an interest in thermodynamics, water treatment, and sustainability. Applicants with experience in some (not all) of the following are preferred: experimental design and prototyping, manufacturing, materials science, Python, LabView, EES, MATLAB, 3D CAD Software, & Adobe Illustrator. Rising Juniors and Seniors are preferred.",School of Mechanical Engineering,David Warsinger,www.warsinger.com
Energy Quantification of High Strain Rate Impact Testing,"The energy qualification of a reactive material under extreme loading condition has been a struggle. In recent work it has been shown that is there are way to account for most of the energy released based on theoretical calculations. The of this work is to utilize large, closed volumes chambers and simple ignition systems such as an e-match to experimentally measure the potential energy of the lose reactive materials before consolidation. Once consolidated, micro CT of the consolidated materials will allow for modeling. Finally launching the materials into a test chamber with an array of diagnostics will examine the consolidated materials full circle. The full aim of this work is to understand the fragment behavior of consolidated materials on both an experimental and computational level.",West Lafayette,"Material Processing and Characterization, Other","U.S. Citizen, U.S. Permanent Resident",No Major Restriction,,School of Mechanical Engineering,Steven Son,https://www.sciencedirect.com/science/article/pii/S0263224125024078
Energy Storage Analytics,"Lithium ion (Li-ion) batteries are ubiquitous. Thermal safety and degradation characteristics of these systems and advanced battery chemistries are critical to the development of safer, high-performance batteries for electric vehicles. As part of this research, data-driven analytics of experimental and simulated performance under normal and anomalous operating conditions of Li-ion cells and metal electrodes will be performed.",West Lafayette,Energy and Environment,No citizenship requirements,Mechanical Engineering Chemical Engineering,Strong analytical skills and a desire to learn new experimental and modeling & analysis tools. The final deliverable will be one research report (based on weekly progress presentations and updates) and one final presentation.,School of Mechanical Engineering,Partha Mukherjee,https://engineering.purdue.edu/ETSL/
Epitaxial growth of wafer scale semiconductor thin films,"In this project, the student will use the molecular beam epitaxy (NBE) system in the PI's lab and develop the growth of single crystal, high quality, wafer scale semiconductor films. The student will have the opportunity to learn about MBE and other thin film and semiconductor characterization techniques.",West Lafayette,"Material Processing and Characterization, Microelectronics, Nanotechnology",No citizenship requirements,Physics Materials Engineering Electrical Engineering,,Physics and Astronomy,Tiancong Zhu,https://sites.google.com/view/zhulab/home
Evaluating Microvascular and Oxygenation Responses of the Plantar Foot to Heat-Based Therapeutic Strategies in Type 2 Diabetes and Peripheral Artery Disease,"Problems with blood flow in the feet are very common in people with type 2 diabetes (T2D) and peripheral artery disease (PAD). When the small blood vessels in the foot do not work properly, the tissues receive less oxygen. Over time, this can lead to numbness, weakness, slow healing, and, in severe cases, foot ulcers. These complications greatly reduce mobility and quality of life. Because of this, researchers are interested in simple, non-drug treatments—such as controlled heat therapy—that may improve circulation in the lower leg and foot. Our research group recently completed several studies measuring how the small blood vessels in the foot respond to heating and changes in blood flow. We examined how fast oxygen returns to the foot after briefly stopping circulation and how the body reacts when heat and gentle compression are applied to the lower leg. In these studies, individuals with PAD showed much slower and smaller improvements in blood flow and oxygenation, while people with diabetes showed intermediate responses. The goal of this SURF project is to build on these findings by studying how heat-based treatments influence foot circulation in the short term. The student will help measure changes in skin blood flow, tissue oxygen levels, and leg blood flow while participants undergo controlled heating or brief blood flow occlusion. To do this, we will use noninvasive tools such as near-infrared light sensors, laser-based blood flow monitors, and ultrasound. The results of this project will help us understand whether simple warming strategies could support foot health in people who are at risk for poor circulation.",West Lafayette,Cardiovascular Disease Research,No citizenship requirements,No Major Restriction,,Health and Kinesiology,Bruno Roseguini,
Expanding and Evaluating Autonomous Scientific Workflows on nanoHUB,"Autonomous AI systems are becoming increasingly important in scientific computing because they can plan and carry out complex simulation and data analysis tasks automatically. nanoHUB’s new agent-based platform, AURA, has shown that AI can complete multi-step scientific workflows in minutes rather than the hours typically required by manual work (10.26434/chemrxiv-2025-rs07k). This project builds on that capability by focusing on how new computational workflows can be designed so that AI systems can use them reliably and efficiently. In this project, the student will play an active role in developing new computational workflows that expand the range of scientific tasks AURA can perform. The student will help design these workflows, define their required inputs and outputs, and deploy them on the nanoHUB platform. This work will give the student hands-on experience translating scientific ideas into usable computational tools. The student will develop practical skills in Python programming, scientific computing, and workflow automation, as well as experience working with modern research software platforms. They will test how AURA uses the new workflows autonomously and compare AI-driven execution with manual execution to evaluate accuracy, speed, and reliability. By the end of the project, the student will have gained experience in AI-enabled research, reproducible computational workflows, and evaluation of automated systems. Their contributions will directly support ongoing research infrastructure development on nanoHUB while preparing them for future work in computational science, data science, or engineering research.",West Lafayette,"Big Data/Machine Learning, Material Modeling and Simulation",No citizenship requirements,Materials Engineering Mechanical Engineering Computer Engineering Computer Science Aeronautical and Astronautical Engineering Engineering (First Year),"▪ Be available to work in person over the summer.
▪ Have experience with MATLAB, Python, or similar programming tools for data analysis or computational tasks.
▪ Have interest in LLMs, AI agents, or autonomous scientific systems.
▪ Be comfortable learning new software tools and working with structured input/output data.
▪ Have interest in workflow automation, scientific computing, or engineering simulations.
▪ Have basic familiarity with version control (Git) or be willing to learn.
▪ Have prior experience, or strong interest, in building small computational workflows or automating analysis tasks.
▪ Be able to document results clearly and communicate findings effectively.",School of Materials Engineering,Alejandro Strachan,https://www.strachanlab.org/
FDM 3D Printing of Energetics,"This project will utilize propellant and pyrotechnic formulations to 3D print various samples. Filament formulations will be varied to explore printability and burn rate. 3D printed samples will be evaluated to determine explosive and combustion characteristics such as jetting, penetration, burn rate, fireball, and impulse. This project will consist of material formulation, filament production, 3D printing solids, 3D modeling, charge preparation, test setup, high-speed camera operation, and data analysis.",West Lafayette,"Heterogeneous Integration, Other","U.S. Citizen, U.S. Permanent Resident",No Major Restriction,,School of Mechanical Engineering,Steven Son,https://engineering.purdue.edu/Energetics
Fabrication of atomic clean 2D heterostructures,"In this project, the student will learn how to use mechanical exfoliation to isolate individual two-dimensional material flakes, and use them to create designed heterostructures with atomic clean surface. The student will also have opportunity to learn characterization techniques such as atomic force microscopy and scanning tunneling microscopy",West Lafayette,"Material Processing and Characterization, Microelectronics, Nanotechnology",No citizenship requirements,Physics,,Physics and Astronomy,Tiancong Zhu,https://sites.google.com/view/zhulab/home
From fracture to flow: how calving ice sheet affect ocean dynamics,"When glaciers in Greenland calve, they release icebergs that mix with sea ice to form a dense granular material known as ice mélange. This mélange plays a critical role in fjord dynamics by transmitting stress to glacier fronts and driving ocean circulation during calving events. In this SURF project, an undergraduate student will design and conduct controlled hydraulic flume experiments to study the drag forces between floating ice mélange and the underlying ocean flow. Experimental results will be used to calibrate and validate computational fluid dynamics (CFD) simulations in OpenFOAM, leading to a new parameterization of mélange–ocean drag for large-scale ocean models. Students will gain hands-on experience with laboratory instrumentation (PIV), fluid dynamics, data analysis, and numerical modeling, contributing to our understanding of how Greenland’s glaciers interact with the ocean in a warming climate.",West Lafayette,"Ecology and Sustainability, Energy and Environment, Environmental Characterization, Fluid Modelling and Simulation",No citizenship requirements,No Major Restriction,,Lyles School of Civil Engineering,yue meng,https://olivmeng.github.io/
Functional genomic screening to define PFAS neurotoxic mechanism conferring AD risk,"The project aims aims to elucidate sub-cellular compartment homeostasis that is disrupted by developmental PFAS exposure, including PFOA, PFBA, and GenX, that collectively contribute to neurotoxicity later in life by increasing cellular vulnerability to established neuro-risk factors associated with neurodegeneration. Participating students will perform stem cell culturing and carry out transcriptomic and epigenomic analysis after harvested cells. The student will learn stem cell biology and bioinformatic analysis.",West Lafayette,"Biological Characterization and Imaging, Biotechnology Data Insights, Cellular Biology","U.S. Citizen, U.S. Permanent Resident",No Major Restriction,,Davidson School of Chemical Engineering,Chongli Yuan,
Generative AI for the discovery of new drugs,"Recent advancements in generative AI, e.g., transformers, diffusion, have found tremendous success in language and image generation. The same technologies have started being applied successfully for designing molecules with desired properties. These approaches hold the promise of accelerating drug discovery by orders of magnitude since they replace a more or less random search with a more informative guided search of the space of all possible molecules. In this project, the team will investigate two approaches, (1) equivariant 3D-conditional diffusion and (2) generative flow networks , and their application to the design of new drugs.",West Lafayette,"Big Data/Machine Learning, Other",No citizenship requirements,No Major Restriction,,School of Mechanical Engineering,Arezoo Ardekani,
Gradual Verification: Assuring Programs Incrementally,"Description and Significance: Software verification is the process of ensuring that a piece of software does what it is intended to do (i.e., ensuring the code adheres to its specification). Software verification is important for all software systems, but particularly so, for critical systems such as control systems for aircraft and nuclear power plants. However, static verification---the technique often applied to such systems---cannot support incrementality. It involves writing detailed specifications (often in a formal logic) on system components, such as pre- and postconditions for functions. To prove that a function adheres to its postcondition (e.g. that a findMax function returns the maximal element of a list), tools demand many additional specifications. Worse even, is that a single specification cannot be checked for correctness without providing all the required specifications. The idea of Gradual verification [1,2,3,4] was introduced to solve this problem and make static verification more useful in practice. Gradual verification supports the incremental specification and verification of programs through the sound and principled application of static (at compile-time) and dynamic (at run-time) techniques---static techniques are applied where possible and dynamic ones where necessary. As a result, a gradual verifier allows developers to pick and choose which properties and components of their system to specify without any unnecessary effort and receive immediate verification feedback. Since the introduction of gradual verification [1], we have extended the approach to support more practical programs, such as those containing recursive heap data structures (trees, graphs, lists, etc.) [2,3,4]. Student Involvement: Students who work with me this summer will have the opportunity to work on a gradual verification project of their choosing. I have several interesting new projects for gradual verification that involve theory, building tools, and/or studying human behavior. For example, I am interested in how machine learning and large language models can be used to generate specifications supported by gradual verification. I am also interested in building a gradual verifier for the C programming language and exploring the educational impact of gradual verification through user studies. See the projects page on my website for detailed project information: https://jennalwise.github.io/projects/. Each of these endeavors will allow students to gain experience with programming language design, software development, theory, formal reasoning, logic, and empirical studies. Additionally, my goal is for students who work with me this summer to present and/or publish their work at conferences (as many of my students have done in the past). [1] Johannes Bader, Jonathan Aldrich, and Éric Tanter. ""Gradual Program Verification."" In International Conference on Verification, Model Checking, and Abstract Interpretation, pp. 25-46. Springer, Cham, 2018. [2] Jenna Wise, Johannes Bader, Cameron Wong, Jonathan Aldrich, Éric Tanter, and Joshua Sunshine. ""Gradual verification of recursive heap data structures."" Proceedings of the ACM on Programming Languages 4, no. OOPSLA (2020): 1-28. [3] Jenna DiVincenzo, Ian McCormack, Conrad Zimmerman, Hemant Gouni, Jacob Gorenburg, Jan-Paul Ramos-Dávila, Mona Zhang, Joshua Sunshine, Éric Tanter, and Jonathan Aldrich. “Gradual C0: Symbolic Execution for Gradual Verification.” ACM Trans. Program. Lang. Syst. 46, 4, Article 14 (December 2024), 57 pages. https://doi.org/10.1145/3704808 [4] Conrad Zimmerman, Jenna DiVincenzo, and Jonathan Aldrich. ""Sound Gradual Verification with Symbolic Execution."" Proceedings of the ACM on Programming Languages 8, no. POPL (2024): 2547-2576.",West Lafayette,"Cybersecurity, Human Factors, Other",No citizenship requirements,Computer Science Computer Engineering Mathematics - Computer Science,Students must have taken at least two programming courses or have equivalent programming background.,Elmore Family School of Electrical and Computer Engineering,Jenna DiVincenzo,https://jennalwise.github.io/projects/
High efficiency HVAC membranes,"Convective drying processes consume a substantial amount of energy within the manufacturing sector and often rely on inefficient processes. A novel closed-cycle architecture which combines water vapor selective membranes (which allow water vapor transport while blocking air) is proposed, with a unique heat pump design for efficient thermal management (also dubbed as MemDry). Closed-cycle heat pump-driven convective drying processes have been implemented in the past; however, such systems suffer from two major drawbacks: (1) they cool post-process air to induce condensation, and condensing water vapor requires a significant amount of energy and (2) the cooled air must be reheated before being used in a drying process again. Our proposed MemDry cycle can provide upwards of 80% energy savings over conventional heat pump convective drying cycles by combining novel nanomaterials with clever system design to avoid to need for energy expenditures associated with cooling/reheating and water vapor condensation. Furthermore, the cycle can achieve upwards of 30-40% second law efficiency, further improving upon conventional technologies. Additionally, providing heat via an electric-powered heat pump cuts back on CO2 emissions compared to a combustion-driven drying process. The student who joins this lab will be expected to attend weekly lab meetings and sub-group meetings. They will be focusing on prototype development and evaluation. Contributions will include 3D CAD modeling, framework manufacturing, system control and data acquisition design, membrane material fabrication and testing, and ample opportunities to assist with technical writing efforts (journal articles, conference papers, grant submissions, and patent application). Once the prototype device is developed and optimized, the student will be able to assist with experiments and will be taught to run some of the experiments on their own as well. The student will be expected to give weekly progress updates and will have the opportunity to present their projects at different symposiums and conferences. The student should also be eager to collaborate with other researchers outside of mechanical engineering to draw from a broad range of expertise in pursuing our research goals.",West Lafayette,"Fluid Modelling and Simulation, Material Modeling and Simulation, Thermal Technology, Other",No citizenship requirements,No Major Restriction,"Enthusiasm for energy systems, and long-term dedication to undergraduate research. We need a mix of skills including for prototyping, modeling, graphic design, business/economic calculations, and education outreach. Most recruits have good GPA's, but we may make exceptions for especially dedicated applicants. Some specific needed skills include: 
•	Experience with CAD modeling (CATIA, SOLIDWORKS, etc.) is necessary. 
•	Some background in prototype development/manufacturing or membrane materials/fabrication will be useful. 

•	Experience with LabVIEW control and data acquisition is beneficial. Course-related experience is also very helpful. 
•	Experience with MATLAB and Engineering Equation Solver will be useful for assisting inside projects related to the technology we are developing. 
•	Student should have a strong interest in thermodynamics and controls, along with a general motivation",School of Mechanical Engineering,Davide Ziviani,https://www.warsinger.com/
High-throughput Electrocatalysis with Metal Oxides,"This project is part of a broader Center for Chemical Innovation (CCI) focused on high-throughput and high-resolution characterization of single nanocrystals. In this project, undergraduate students will develop knowledge and skills in materials synthesis and characterization, electrocatalysis, and high-throughput experimentation.",West Lafayette,Chemical Catalysis and Synthesis,No citizenship requirements,Chemistry Chemical Engineering,"completed coursework in general chemistry, organic chemistry",Chemistry,Christina Li,https://www.chem.purdue.edu/li/
Identifying drug treatments for functional recovery after spinal cord injury,"Spinal cord injury is a significant human health problem affecting about 300,000 people in the US. Better treatment options are needed to overcome the limited regeneration potential of the human spinal cord. Zebrafish larvae are an emerging model system for drug screening for several reasons including large number of embryos per breeding, genetics, and availability of behavioral assays for drug testing. Our lab has conducted a large-scale drug screen with an FDA-approved library to identify novel compounds that enhance functional recovery following injury as assessed by a swimming assay. We are currently characterizing the effects of some of these drugs in more detail with the goal of identifying compounds of high efficacy and specificity. The student will be involved with fish breeding, spinal cord injury, drug treatment, and behavioral assay. We hope that this work will identify new compounds with translational potential for treatment of human spinal cord injury.",West Lafayette,"Biological Characterization and Imaging, Cellular Biology, Medical Science and Technology",No citizenship requirements,No Major Restriction,"Cell Biology, Biochemistry, Neurobiology",Biological Sciences,Daniel Suter,https://suterlab.bio.purdue.edu
Immunoengineering for next-generation immunotherapies,"This project focuses on advancing next-generation immunotherapies for challenging diseases—including cancer and neurological disorders—by integrating immunoengineering with high-level genetic editing of immune cells both ex vivo and in vivo. By designing and studying modified immune cell populations such as NK cells, the research aims to better understand and enhance their therapeutic potential. In parallel, the project develops organoid systems, including brain-like tissues, to create physiologically relevant platforms for examining how engineered immune cells interact with complex disease environments. Together, these approaches provide a powerful framework for uncovering disease mechanisms, optimizing immune-based interventions, and accelerating the translation of innovative therapies. The student will be involved in experimental aspects of the project and carry out studies in one or multiple areas involving the evaluation of immune engineering approaches to improve immune cell function, development and assembly of organoid systems and functional and analytical evaluation of the molecular, engineering and therapeutic aspects of immune-disease settings. In addition to collecting data, the student will analyze data, perform visualizations and present their research findings.",West Lafayette,Other,No citizenship requirements,No Major Restriction,,Department of Industrial and Physical Pharmacy,Sandro Matosevic,www.matoseviclab.com
Inertial Microfluidics: Analyzing Flow Visualization Data from the NIST Cytometer,"Microfluidic devices are increasingly used for lab-on-a-chip technology for medical diagnostics. “Microfluidics” refers to fluid mechanics at the micron scale (10^-6 m). In this project, we focus on inertial microfluidics, where small geometries combine with high flow speed to produce non-intuitive inertial effects. One such phenomenon is inertial migration: rigid particles suspended inflow drift toward a small number of stable focusing positions, a behavior that emerges from the nonlinear Navier-Stokes equations. A key open question is: at what spatial scale does the particle’s inertial migration influence the surrounding flow field? To investigate this, and in collaboration with NIST Gaithersburg, we have collected fluorescence video data of particles moving through a microfluidic channel. The images reveal a characteristic U-shaped depletion zone around the particle. The goal of this project is to analyze the experimental video data, compare it to existing finite-element simulations, and to develop a reduced-order MATLAB model to better understand the underlying flow physics. Students will gain experience in image processing, computational modeling, and interpreting fluid-mechanical experiments.",West Lafayette,Fluid Modelling and Simulation,U.S. Citizen,No Major Restriction,"Linear Algebra, Differential Equations. Programming in MATLAB, Critical thinking, Good Communication Skills. Fluid mechanics or image processing is a bonus.",Mathematics,Kaitlyn Hood,
Investigating Bolted Connections for SpeedCore Steel Coupling Beams,"As part of the American Institute of Steel Construction's Need for Speed initiative, this project investigates bolted connections to use steel coupling beams in the SpeedCore system. SpeedCore is an innovative composite wall system in which two exterior steel faceplates are connected by tie bars and filled with concrete—much like a structural “sandwich.” This system allows for an estimated 43% reduction in construction time, enhanced ductility, and increased strength when compared to traditional reinforced concrete core construction in high-rise structures. The student will work at Robert L. and Terry L. Bowen Laboratory supporting ongoing research aimed at further improving the SpeedCore system. Responsibilities will include assisting graduate research assistants in constructing large‑scale test specimens for destructive testing, helping set up instrumentation, contributing to data collection and interpretation, and engaging in research discussions throughout the project. This role provides hands‑on experience with experimental structural engineering and exposure to cutting‑edge innovations in steel‑concrete composite systems.",West Lafayette,"Composite Materials and Alloys, Engineering the Built Environment, Other",No citizenship requirements,No Major Restriction Civil Engineering,,Lyles School of Civil Engineering,Amit Varma,https://engineering.purdue.edu/Bowen
Investigating Calcium-dependence signaling in a protein pathway and their effect on actin remodeling in the egg-to-embryo transition of mammalian eggs,"Calcium (Ca2+) signaling is a fundamental element of life, being involved in intracellular signaling pathways that are known for maintaining cellular homeostasis. In mammalian eggs, Ca2+ signaling mediates the egg-to-embryo transition, a developmental event composed of a series of events that transform a mature oocyte (egg) into a developing embryo following fertilization. Increased cytosolic Ca2+ induces key developmental events including the completion of meiosis, progression to embryonic mitosis, and the establishment of the egg's preventative mechanisms that block fertilization by more than one sperm (known as blocks to polyspermy). Calcium ions exert their effects through calcium-dependent effector molecules, and Ca2+/Calmodulin-dependent kinase II (CaMKII) is directly involved with exit from metaphase II stage and mediating events in early embryogenesis.  It is known that the gamma isoform of CaMKII (CaMKIIy) mediates multiple events of the egg-to-embryo transition, as evidence from studies that CaMKIIy knockout female mice are infertile due to egg activation defects. Furthermore, CaMKII has numerous downstream effectors, including T-cell lymphoma invasion and metastasis 1 (Tiam1), a Rac1 guanine nucleotide exchange factor (GEF) phosphorylated by CaMKII in other biological systems such as neurons.  Tiam1 activates small G-proteins Rac1 and Cdc42, which places Tiam1 as a potential mediator of membrane block establishment for actin cytoskeleton remodeling.  Despite Tiam1 transcript being enriched in mammalian eggs and testes in mice, there are no known roles of Tiam1 in the mammalian egg-to-embryo transition. Here, we investigate the Ca2+-dependent activation of Tiam1 and its association to CaMKIIy throughout meiosis and early egg activation stages.  Oocytes from CF-1 female mice were used for collection and superovulation was achieved through injections with pregnant mare serum gonadotropin (PMSG) and human chorionic gonadotropin (hCG) for the in vitro fertilization (IVF) experiments. Expression of Tiam1 protein in oocytes was evaluated using immunoblotting and immunofluorescence; and Tiam1/CaMKIIy co-localization was analyzed through proximity ligation assays (PLA). We detected both Tiam1 and CaMKIIy (control) protein presence in Prophase I, Metaphase II, and fertilized egg lysate through immunoblotting.  Immunofluorescence images show Tiam1 presence in both cytoplasm and cortex in Prophase I, Metaphase II, and fertilized eggs. PLA results for Tiam1 and CaMKIIy in Metaphase II and fertilized eggs indicate a promising mechanism for studying the co-localization of both Tiam1 and CaMKIIy under varying Ca2+ manipulations.  Future studies include: (1) investigating the potential phosphorylation of Tiam1 upon Ca2+ and CaMKII-activation using a PhosTag acrylamide assay for differential separation of proteins based on their phospho-state, followed by immunoblotting, (2) a GTPase-linked immunosorbent assay (GLISA) to measure the Ca2+-dependent activation state of a small GTPase, Cdc42, and its co-dependency on Tiam1/CaMKIIy, and (3) characterizing the impact on sperm-induced actin remodeling from manipulations to Tiam1 with a reverse genetics approach known as Trim-Away.  These studies will elucidate the factors and pathways of Tiam1 and CaMKIIy that contribute to the Ca2+ -dependent signaling events in the egg-to-embryo transition.",West Lafayette,"Biological Characterization and Imaging, Cellular Biology",No citizenship requirements,No Major Restriction,"Technical and laboratory skills: Student(s) chosen for this project will be working with animals (mice); collecting oocytes (mammalian eggs) from animals through dissection; performing oocyte collection and media prep for oocyte culture; perform in-vitro fertilization (IVF) for collecting early embryos; using a widefield microscope to capture microscopic images of prepared samples; and use ImageJ software for analyzing microscope images for quantification methods. Basic coding skills may be necessary as well.
Qualifications and performance expectations: Students(s) must demonstrate intellectual curiosity and persistence in experimental inquiry; have a strong foundation in cell and molecular biology; and exhibit attention to detail in organized notetaking, critical thinking, and quantitative reasoning in both experimental design and data interpretation.  Attendance is expected for weekly laboratory meetings to discuss research progress and receive feedback for areas of improvement.  Clear communication of program requirements, experiment handling, and mentoring needs are strongly encouraged.
Expected outcomes for student development: Through this project, student(s) will be able to: 
Laboratory skills - (1) handle working with rodents; (2) learn the concepts of oocyte handling; (3) perform immunofluorescence experiments using microscopy; (4) perform IVF; (5) and perform image quantification and statistical analysis for gather generated 
Individual development – (1) Technical writing skills; (2) critical thinking and results interpretation; (3) experimental design validation; (4) teamworking skills on collaborative project; and (5) professional presentation skills (oral and poster) .",Weldon School of Biomedical Engineering,Tamara Kinzer-Ursem,https://engineering.purdue.edu/ursemlab
Investigating SLGT-2i Efficacy in Treating Cardiomyopathy in Duchenne Muscular Dystrophy,"This project explores the potential of SGLT-2i treatment in preventing cardiomyopathy in a murine model of Duchenne muscular dystrophy. Students will assist with echocardiographic and histopathologic image acquisition and analysis to quantify functional changes in the heart and determine whether SGLT-2i therapy prevents a decline in function loss. Students will develop skills in rodent handling, ultrasound image acquistion and analysis, animal dissection, histological analysis, and descriptive and analytical statistics. Students will use a high frequency ultrasound machine, anesthesia machines, blood pressure monitoring equipment, ultrasound image analysis software, histology image analysis software, and may need to code in MATLab, Python, and/or R.",West Lafayette,"Biological Characterization and Imaging, Cardiovascular Disease Research",No citizenship requirements,No Major Restriction,"Introductory coursework in anatomy and physiology, statistics, biology, and chemistry. Desired skills include coding experience in R, Python, MATLab. Previous experience in animal/rodent handling is preferred, but not required.",Weldon School of Biomedical Engineering,Craig Goergen,https://engineering.purdue.edu/cvirl
IoT4Ag: AgBot Field Operations,"The goal of this project is to support the field operations of a small fleet of autonomous mobile agricultural ground robots, AgBots.  The AgBot can be configured for IoT sensor deployment, sensor reading, and in-row navigation, monitoring, and physical sampling.  A robotic trailer for transporting the team of AgBots to the field also houses a charging station for the robots and serve as a communication base station for the team. The trailer is attached to an autonomous Polaris Ranger utility task vehicle (UTV).  The AgBot team will be deployed multiple times a week over the growing season to perform sensor deployment, reading, crop monitoring, and physical sampling tasks.  Students on this project will work with project mentors on mechanical design improvements to the robotic trailer system, sensor deployment system, and the physical sampling storage system; incorporating capabilities for AgBot autonomous sensor readings in the field; autonomous approaches for AgBot fleet deployment from the trailer; and path planning and implementation of in-field AgBot rendezvous with the Polaris Ranger UTV for battery recharging.  Field tests will be conducted at the Purdue University Agronomy Center for Research and Education (ACRE) facility.",West Lafayette,"Deep Learning, IoT for Precision Agriculture, Other",U.S. Citizen,Mechanical Engineering Electrical Engineering Computer Engineering Computer Science Agricultural Engineering,,School of Mechanical Engineering,David Cappelleri,https://iot4ag.us/
Laser Ignition of Boron Doped Particle,"The ignition behavior of single particles has been studied for a variety of alloying materials, and it is known that doped and alloy particles have enhanced burning affects in propellants. The single particle ignition of these dopped particles would provide insight into reason the particles have these effects. It is expected that the doping and alloying materials would reduce the energy necessary for a single particle to burn. Using single particle ignition of boron, a material with a high potential energy, we aim to quantify the effect of the doping and alloying materials for the minimal energy required for ignition.",West Lafayette,"Composite Materials and Alloys, Energy and Environment, Other","U.S. Citizen, U.S. Permanent Resident",No Major Restriction,"Prefer Sophomore, Junior or Senior in ME, AAE, MSE, or ChE.",School of Mechanical Engineering,Steven Son,https://www.sciencedirect.com/science/article/pii/S0010218025000732
